Date,Open,High,Low,Close,Adj Close,Volume
1/8/18,9576.799805,9584.519531,9538.370117,9541.730469,9541.730469,43300900
1/9/18,9557.370117,9611.610352,9554.480469,9611.610352,9611.610352,46766700
1/10/18,9588.480469,9595.780273,9506.269531,9524.959961,9524.959961,50878700
1/11/18,9535.80957,9554.919922,9475.169922,9503.849609,9503.849609,53573800
1/12/18,9521.719727,9561.589844,9508.990234,9546.610352,9546.610352,48371700
1/15/18,9534.660156,9551.070313,9511.709961,9537.280273,9537.280273,30978100
1/16/18,9533.669922,9567.240234,9464.049805,9464.049805,9464.049805,48392300
1/17/18,9427.599609,9470.530273,9422.049805,9440.009766,9440.009766,53731200
1/18/18,9486.820313,9494.540039,9432.490234,9452.349609,9452.349609,49958100
1/19/18,9452.820313,9511.44043,9447.509766,9509.769531,9509.769531,67481200
1/22/18,9500.349609,9529.129883,9475.05957,9529.129883,9529.129883,53184600
1/23/18,9543.990234,9594.360352,9529.110352,9551.580078,9551.580078,56023000
1/24/18,9569.730469,9616.379883,9547.570313,9547.570313,9547.570313,49543500
1/25/18,9517.919922,9567.69043,9474.240234,9482.959961,9482.959961,61610300
1/26/18,9500.049805,9553.889648,9496.660156,9515.55957,9515.55957,43978800
1/29/18,9517.230469,9528.320313,9451.910156,9457.269531,9457.269531,41153500
1/30/18,9443.80957,9499.599609,9390.160156,9433.339844,9433.339844,47505900
1/31/18,9415.040039,9450.280273,9335.400391,9335.400391,9335.400391,64813900
2/1/18,9386.009766,9424.549805,9288.049805,9290.919922,9290.919922,51810600
2/2/18,9269.469727,9272.5,9220.69043,9220.69043,9220.69043,47288600
2/5/18,9122.330078,9147.879883,9085.389648,9100.389648,9100.389648,63209600
2/6/18,8771.900391,8982.400391,8732.580078,8836.709961,8836.709961,111261200
2/7/18,8892.389648,9006.879883,8867.320313,8975.009766,8975.009766,75426200
2/8/18,8961.839844,8993.019531,8763.110352,8763.110352,8763.110352,76033100
2/9/18,8794.44043,8811,8664.030273,8682,8682,86205900
2/12/18,8796.530273,8856.879883,8780.740234,8822.179688,8822.179688,59102400
2/13/18,8818.280273,8845.330078,8752.639648,8752.639648,8752.639648,51802500
2/14/18,8814.580078,8901.120117,8748.360352,8899.099609,8899.099609,76543500
2/15/18,8898.959961,8939.849609,8887.410156,8917.799805,8917.799805,64089700
2/16/18,8961.370117,8989.519531,8940.849609,8986.719727,8986.719727,57522200
2/19/18,8979.419922,8982.610352,8897.830078,8908.650391,8908.650391,32304800
2/20/18,8932.160156,8981.389648,8898.480469,8981.389648,8981.389648,42036100
2/21/18,8955.490234,8994.719727,8901.389648,8988.990234,8988.990234,49208100
2/22/18,8931.549805,8967.429688,8899.230469,8967.429688,8967.429688,40694700
2/23/18,8948.740234,8955.070313,8897.55957,8948.19043,8948.19043,33403900
2/26/18,8977.910156,9026.110352,8962.980469,9026.110352,9026.110352,34404700
2/27/18,9055.879883,9057.299805,8967.719727,8992.519531,8992.519531,45743200
2/28/18,8959.980469,8977,8906.379883,8906.379883,8906.379883,44847800
3/1/18,8879.129883,8890.379883,8774.959961,8792.379883,8792.379883,52173400
3/2/18,8721.870117,8730.860352,8612.980469,8628.509766,8628.509766,70155800
3/5/18,8625.889648,8808.379883,8624.040039,8808.379883,8808.379883,56928200
3/6/18,8844.299805,8860.179688,8765.879883,8765.879883,8765.879883,55933300
3/7/18,8739.30957,8800.209961,8709.799805,8784.839844,8784.839844,44101200
3/8/18,8789.429688,8898.200195,8789.019531,8896.419922,8896.419922,46700700
3/9/18,8885.94043,8943.830078,8880.400391,8931.849609,8931.849609,42858500
3/12/18,8963.160156,8982.900391,8932.540039,8970.740234,8970.740234,35395400
3/13/18,8961.69043,8993.879883,8865.959961,8880.919922,8880.919922,49744500
3/14/18,8877.179688,8939.049805,8856.070313,8869.330078,8869.330078,46595500
3/15/18,8854.339844,8897.009766,8809.910156,8878.980469,8878.980469,51170800
3/16/18,8869.610352,8905.660156,8860.599609,8882.530273,8882.530273,121669000
3/19/18,8863.849609,8882.650391,8797.969727,8811.330078,8811.330078,44994300
3/20/18,8840.049805,8847.480469,8772.700195,8847.290039,8847.290039,37480900
3/21/18,8850.780273,8862.580078,8762.30957,8783.700195,8783.700195,61452400
3/22/18,8731.629883,8747.959961,8625.94043,8637.870117,8637.870117,68613000
3/23/18,8597.990234,8639.339844,8549.150391,8569.080078,8569.080078,64993200
3/26/18,8603.650391,8668.009766,8501.169922,8509.290039,8509.290039,58399100
3/27/18,8621.219727,8660.709961,8593.379883,8638.419922,8638.419922,62755400
3/28/18,8566.339844,8756.120117,8522.330078,8756.120117,8756.120117,73168000
